Japanese,Romanization,English
番号,Bangou,Number
数,Kazu,Number
数える,Kazoeru,To count
百,Hyaku,100
二百,Nihyaku,200
三百,Sanbyaku*,300
六百,Roppyaku*,600
八百,Happyaku*,800
一つ,Hitotsu,1 item
二つ,Futatsu,2 items
三つ,Mittsu,3 itmes
四つ,Yottsu,4
五つ,Itsutsu,5
六つ,Muttsu,6
七つ,Nanatsu,7
八つ,Yattsu,8
九つ,Kokonotsu,9
十,Too,10 items
一個,Ikko,One small item
二個,Niko,Two small items
三個,Sanko,Three small items
一人,HItori,1 person
二人,Futari,2 people
三人,Sannin,3 people
時間,Jikan,Time
時計,Tokei,Clock
時,Ji,Hour
何時,Nanji,What time
分,Fun,Minute
秒,Byou,Second
半,Han,Half past
午前,Gozen,A.M.
午後,Gogo,P.M.
日の出,Hi no de,Sunrise
朝,Asa,Morning
正午,Shougo,Noon
昼,Hiru,Midday
夕方,Yuugata,Evening
日の入り,HI no iri,Sunset
夜,Yoru,Night
一日,Ichinichi,1 day
二日間,Futsukakan,2 days
三日間,Mikkakan,3 days
一泊,Ippaku,One night
二泊,Nihaku,Two nights
三泊,Sanpaku,Three nights
１日,Tuitachi,1st day of the month
２日,Futsuka,2nd of the month
３日,Mikka,3rd
４日,Yokka,4th
５日,Itsuka,5th
６日,Muika,6th
７日,Nanoka,7th
８日,Youka,8th
９日,Kokonoka,9th
１０日,Touka,10th
１４日,Jyuuyokka,14th
１８日,Jyuuyouka,18th
２０日,Hatsuka,20th
家,Ie,House
マンション,Manshon,Condo
アパート,Apaato,Apartment
団地,Danchi,Apartment Complex
大家,Ooya,Landlord
敷金,Shikikin,Security Deposit
家賃,Yachin,Rent
庭,Niwa,Garden
ドア,Doa,Door
玄関,Genkan,Entrance
傘立て,Kasatate,Umbrella Stand
部屋,Heya,Room
廊下,Rouka,Hallway
床,Yuka,Floor
壁,Kabe,Wall
天井,Tenjou,Ceiling
窓,Mado,Window
家具,Kagu,Furniture
階段,Kaidan,Stairs
居間,Ima,Living Room
テレビ,Terebi,Television
テーブル,Teeburu,Table
椅子,Isu,Chair
ソファー,Sofaa,Sofa
絨毯,Juutan,Carpet
台所,Daitokoro,Kitchen
戸棚,Todana,Cupboard
流し,Nagashi,Sink
冷蔵庫,Reizouko,Refrigerator
冷凍庫,Reitouko,Freezer
ストーブ,Sutoobu,Stove
オーブン,Oobun,Oven
電子レンジ,Denshirenji,Microwave
食器洗い機,Shokkiaraiki,Dish Washer
皿,Sara,Dishes / Plate
お箸,Ohashi,Chopsticks
フォク,Foku,Fork
ナイフ,Naifu,Knife
スプーン,Supuun,Spoon
コップ,Koppu,Cup
カップ,Kappu,Cup
水筒,Suitou,Water Bottle / Thermos
寝室,Neshitsu,Bedroom
本棚,Hondana,Bookshelf
机,Tsukue,Desk
洋室,Youshitsu,Western-Style Room
ベッド,Beddo,Bed
シート,Shiito,Sheets
毛布,Moufu,Blanket
枕,Makura,Pillow
たんす,Tansu,Dresser
和室,Washitsu,Japanese-Style Room
押入れ,Oshiire,Closet
布団,Futon,Futon
畳,Tatami,Tatami Mat
障子,Shouji,Paper Doors
風呂場,Furoba,Bathroom
洗面所,Senmenjo,Washroom
お手洗い,Otearai,Restroom
トイレ,Toire,Toilet
お風呂,Ofuro,Bath
お風呂に入る,Ofuro ni hairu,To take a bath
鏡,Kagami,Mirror
歯ブラシ,Haburashi,Toothbrush
歯磨き粉,Hamigakiko,Toothpaste
歯を磨く,Ha wo migaku,To brush one's teeth
フロス,Furosu,Floss
かみそり,Kamisori,Razor
ティッシュ,Tisshu,Tissue
ベランダ,Beranda,Veranda / Balcony
車庫,Shako,Garage
掃除する,Souji suru,To clean
片付ける,Katadzukeru,To tidy
ほうき,Houki,Broom
ほうきで掃く,Houki de haku,To sweep
ちりとり,Chiritori,Dustpan
ほこりを取る,Hokori wo toru,To dust
バケツ,Baketsu,Bucket
ぞうきん,Zoukin,Cleaning cloth
掃除機,Soujiki,Vacuum cleaner
掃除機をかける,Soujiki wo kakeru,To vacuum
ゴム手袋,Gomu tebukuro,Rubber gloves
洗濯する,Sentakusuru,To do laundry
洗濯機,Sentakki,Laundry machine
乾かす,Kawakasu,To dry (clothes)
乾燥機,Kansouki,Dryer
物干し竿,Monohashizao,Clothes Line
物干し,Monohashi,Drying Rack
学校,Gakkou,School
幼稚園,Youchien,Kindergarten
小学校,Shougakkou,Elementary School
中学校,Chuugakkou,Middle School
高校,Koukou,High School
大学,Daigaku,College
大学院,Daigakuin,Graduate School
学生,Gakusei,Student
先生,Sensei,Teacher
先輩,Senpai,Upperclassman
同級生,Doukyuusei,Classmate
後輩,Kouhai,Underclassman
授業,Jugyou,Lesson
科目,Kamoku,Subject
数学,Suugaku,Math
科学,Kagaku,Science
生物学,Seibutsugaku,Biology
化学,Kagaku,Chemistry
物理学,Butsurigaku,Physics
歴史,Rekishi,History
外国語,Gaikokugo,Foreign Language
美術,Hijutsu,Art
音楽,Ongaku,Music
体育,Taiiku,Physical Education
勉強,Benkyou,Study
塾,Juku,Cram School
試験,Shiken,Exam
期末試験,Kimatsushiken,Final Exam
入学試験,Nyuugakushiken,Entrance Exam
宿題,Shukudai,Homework
レポート,Repooto,Report
提出,Teishutsu,Submission
ノート,Nooto,Note
ペン,Pen,Pen
鉛筆,Enpitsu,Pencil
消しゴム,Keshigomu,Eraser
文房具,Bunbougu,Stationery
計算機,Keisanki,Calculator
黒板,Kokuban,Blackboard
チョーク,Chooku,Chalk
図書館,Toshokan,Library
体育館,Taiikukan,Gymnasium
部活,Bukatsu,Club Activities
運動部,Undoubu,Exercise / Sports Club
ダンス部,Dansubu,Dance Club
チア部,Chiabu,Cheer Club
英会話部,Eikaiwabu,English Conversation Club
美術部,Bijutsubu,Art Club
音楽部,Ongakubu,Music Club
料理部,Ryouribu,Cooking Club
茶道部,Sadoubu,Tea Ceremony Club
演劇部,Engekibu,Theater Club
会社,Kaisha,Company
株式会社,Kabushikigaisha,Public Company
有限会社,Yuukengaisha,Private Company
企業,Kigyou,Enterprise
大手企業,Ootekigyou,Big Corporation
中小企業,Chuushoukigyou,Medium To Small Enterprise
営業部,Eigyoubu,Sales Department
開発部,Kaihatsubu,Development Department
研究開発,Kenkyuukaihatsu,Research And Development
人事部,Jinjibu,Human Resuorces
総務部,Soumubu,General Affairs
会社員,Kaishyain,Company Employee
従業員,Juugyouin,Employee
社長,Shachou,Company President
副社長,Fukushachou,Executive Vice President
部長,Buchou,Department Head
課長,Kachou,Section Manager
上司,Joushi,Boss
同僚,Douryou,Coworker
部下,Buka,Subordintae
派遣社員,Hakenshyain,Temporary Worker
取引先,Hikitorisaki,Client
お疲れさまです,Otsukaresama desu,Thank you for your hard work
事務所,Jimusho,Office Building
オフィス,Ofisu,Office
受付,Uketsuke,Reception Desk
会議室,Kaigishitsu,Meeting Room
会議,Kaigi,Meeting
書類,Shorui,Document
企画書,Kigakusho,Proposal
名刺,Meishi,Business Card
面接,Mensetsu,Interview
履歴書,Rirekisho,Resume
給料,Kyuuryou,Salary
ボーナス,Boonasu,Bonus
残業,Zangyou,Overtime
残業代,Zangyoudai,Overtime Pay
出勤,Shukkin,Attendance At Work
欠勤,Kekkin,Absence From Work
出張,Shucchou,Business Trip
サラリーマン,Sarariiman,Office worker (man)
OL,Ooeru,Office worker (woman)
ジム,Jimu,Gym
運動,Undou,Exercise
スポーツ,Supootsu,Sports
試合,Shiai,Game / Match
チーム,Chiimu,Team
選手,Senshu,Player
バスケットボール,Basukettobooru,Basketball
バレーボール,Bareebooru,Volleyball
フットボール,Futtobooru,American Football
アメフト,Amerfuto,American Football (abbreviation)
サッカー,Sakkaa,Soccer
野球,Yakyuu,Baseball
テニス,Tenisu,Tennis
水泳,Suiei,Swimming
サーフィン,Saafin,Surfing
体操,Taisou,Gymnastics
ゴルフ,Gorufu,Golf
ラグビー,Ragubii,Rugby
バドミントン,Badominton,Badminton
ホッケー,Hokkee,Hockey
ボクシング,Bokushingu,Boxing
サイクリング,Saikuringu,Cycling
ジョギング,Jyogingu,Jogging
ヨガ,Yoga,Yoga
ピラティス,Piratesu,Pilates
トレッドミル,Toreddomiru,Treadmill
ダンベル,Danberu,Dumbbell
筋トレ,Kintore,Weight Training
筋肉,Kinniku,Muscle
肩,Kata,Shoulders
首,Kubi,Neck
腕,Ude,Arms
手首,Tekubi,Wrists
手,Te,Hands
胸,Mune,Chest
腹筋,Fukkin,Abs
腰,Koshi,Lower Back / Waist
お尻,Oshiri,Buttocks
太もも,Futomomo,Thighs
膝,HIza,Knees
ふくらはぎ,Fukurahagi,Calves
足首,Ashikubi,Ankles
足,Ashi,Feet
ストレッチ,Sutorecchi,Stretching
銀行,Ginkou,Bank
銀行員,Ginkouin,Bank Worker
会計,Kaikei,Finances
預金,Yokin,Deposit ; Bank Account
口座,Kougi,Account
普通預金,Futsuuyokin,Normal Bank Account
貯金,Chokin,Savings / Deposit
貯蓄預金,Chochikuyokin,Savings Account
お振り込み,Ofurikomi,Deposit Transfer
振替,Furikae,Transfer between accounts
お引き出し,Ohitadashi,Withdrawal
残高,Zandaka,Account Balance
残高照会,Zandakashoukai,Account Balance Inquiry
金利,Kinri,Interest Rate
金庫,Kinko,Safe
両替,Ryougae,Money Exchange
手数料,Tesuuryou,Charge / Handling fee
現金,Genkin,Cash
貸金,Kashikin,Loan
ローン,Rōn,Loan
借金,Shakkin,Debt
返済,Hensai,Repayment of Loan
円,En,Yen
ドル,Doru,Dollar
ユーロ,Yuuro,Euro
店,Mise,Shop
デパート,Depaato,Department Store
美容院,Biyouin,Salon
スーパー,Suupaa,Supermarket
本屋,Honya,Bookstore
花屋,Hanaya,Flower shop
パン屋,Panya,Bakery
薬局,Yakkyoku,Pharmacy
コンビニ,Konbini,Convenience Store
喫茶店,Kissaten,Cafe
映画館,Eigakan,Movie Theater
買い物,Kaimono,Shopping
営業時間,Eigyoujikan,Hours of Operation
閉店,Heiten,Closing a shop
レジ,Reji,Register
セルフレジ,Serufureji,Self-serve Register
店員,Tenin,Shop Employee
いくら,Ikura,How much
値段,Nedan,Price
レシート,Reshiito,Receipt
お支払い,Oshiharai,Payment
支払う,Shiharau,To pay
払う,Harau,To pay
服,Fuku,Clothes
和服,Wafuku,Traditional Japanese clothing
着物,Kimono,Kimono
浴衣,Yukata,Yukata (lighter kimono worn in summer)
帯,Obi,Obi (kimono sash)
簪,Kanzashi,Ornate hairpin
羽織,Haori,Haori (formal coat)
袴,Hakama,Hakama (men's formal skirt)
足袋,Tabi,Tabi (split-toe socks)
草履,Zouri,Thonged sandals
下駄,Geta,Wooden clogs
洋服,Youfuku,Western clothes
ブラウス,Burausu,Blouse
Yシャツ,Waishatsu,Dress shirt / Button up
ズボン,Zubon,Trousers
スーツ,Suutsu,Suit
スカート,Sukaato,Skirt
ロングスカート,Rongusukaato,Long skirt
ミニスカート,Minisukaato,Miniskirt
ジーンズ,Jiinzu,Jeans
スキニーパンツ,Sukiniipantsu,Skinny jeans
レギンス,Reginsu,Leggings
ショーツ,Shootsu,Shorts
Tシャツ,Tshyatsu,Tshirt
パーカー,Paakaa,Sweatshirt hoodie
トレーナー,Toreenaa,Crewneck sweatshirt
ジャケット,Jaketto,Jacket
コート,Kooto,Coat
ロングコート,Rongukooto,Long coat
カーディガン,Kaadegan,Cardigan
ニット・セーター,Nitto seeta,Knit sweater
ワンピース,Wanpiisu,Dress
ドレス,Doresu,Dress
アクセサリー,Akusesorii,Accessories
帽子,Boushi,Hat
ニットキャップ,Nittokyappu,Beanie
クリップ,Kurippu,Hair clip
リボン,Ribon,Hair Ribbon
ネックレス,Nekkuresu,Necklace
ピアス,Piasu,Earrings
ブレスレット,Buresuretto,Bracelet
指輪,Yubiwa,Ring
手袋,Tebukuro,Gloves
マフラー,Mafuraa,Scarf
タイツ,Taitsu,Tights / pantyhose
靴下,Kutsushita,Socks
靴,Kutsu,Shoes
スニーカー,Suniikaa,Sneakers
スリッポン,Surippon,Slip on (shoes)
ブーツ,Buutsu,Boots
ニーハイブーツ,Niihaibuutsu,Knee-high boots
サンダル,Sandaru,Sandals
ローファー,Roofaa,Loafer
フラット・シューズ,Furatto shuuzu,Flats
パンプス,Pampusu,Pumps
ウエッジ・ソール,Wedji sooru,Wedges
水着,Mizugi,Bathing suit
ビキニ,Bikini,Bikini
下着,Shitagi,Underwear
ブラ,Bura,Bra
キャミソール,Kyamisooru,Camisole
かぶる,Kaburu,To wear (a hat)
かける,Kakeru,To wear (glasses)
着る,Kiru,To wear (tops and dresses)
履く,Haku,To wear (pants and shoes)
サイズ,Saizu,Size
食料品店,Shokuryouhinten,Grocery store
スーパー,Suupaa,Supermarket
通路,Tsuuro,Aisle
買い物カート,Kaimono kaato,Shopping cart
買い物カゴ,Kaimono kago,Shopping basket
日用品,Nichiyouhin,Daily necessities
消費期限,Shouhikigen,Expiration Date
賞味期限,Shoumikigen,Sell-by Date
冷凍食品,Reitoushokuhin,Frozen Food
乳製品,Nyuuseihin,Dairy products
材料,Zairyou,Ingredients
食材,Shokuzai,Ingredients
香辛料,Koushinryou,Spice
スパイス,Supaisu,Spice
ボトル,Botoru,Bottle
缶,Kan,Can
缶詰,Kandzume,Canned food
瓶,Bin,Jar
箱,Hako,Box
袋,Fukuro,Bag
ビニール袋,Biniiru bukuro,Plastic bag
調味料,Choumiryou,Condiment
セール,Seeru,Sale
クーポン券,Kuuponken,Coupon
料理,Ryouri,Cooking
和食,Washoku,Japanese food
中華料理,Chuukaryouri,Chinese food
洋食,Youshoku,Western food
食事,Shokuji,Meal
おかず,Okazu,Side dishes
朝ごはん,Asagohan,Breakfast
昼ごはん,Hirugohan,Lunch
晩ごはん,Bangohan,Dinner
夜食,Yashoku,Late-night snack
おやつ,Oyatsu,Snacks
お菓子,Okashi,Sweets
食べ物,Tabemono,Food
飲み物,Nomimono,Beverage
うどん,Udon,Thick wheat noodles
ラーメン,Raamen,Ramen
刺身,Sashimi,Sashimi (sliced raw fish)
寿司,Sushi,Sushi
巻きずし,Makizushi,Sushi roll
おにぎり,Onigiri,Rice Ball
お弁当,Obentou,Bento (boxed lunch)
天ぷら,Tenpura,Tempura (deep fried foods)
牛丼,Gyuudon,Rice bowl with beef
親子丼,Oyakodon,Rice bowl with chicken and egg
天丼,Tendon,Rice bowl with tempura
トンカツ,Tonkatsu,Fried pork cutlet
カレーライス,Kareeraisu,Japanese curry rice
すき焼き,Sukiyaki,Japanese hot pot
お好み焼き,Okonomiyaki,Savory cabbage pancake
焼きうどん,Yakiudon,Pan fried udon noodles
焼きそば,Yakisoba,Pan fried soba noodles
そば,Soba,Buckwheat noodles
そうめん,Soumen,Thin wheat flour noodles
焼き鳥,Yakitori,Skewered chicken
唐揚げ,Karaage,Fried chicken
卵かけご飯,Tamagokakegohan,Rice topped with raw egg
卵焼き,Tamagoyaki,Rolled omelet
オムライス,Omuraisu,Fried rice topped with an omelet
餅,Mochi,Sticky rice cake
果物,Kudamono,Fruit
りんご,Ringo,Apple
もも,Momo,Peach
すいか,Suika,Watermelon
メロン,Meron,Honeydew (green melon)
梨,Nashi,Japanese pear
洋梨,Younashi,European pear
杏,Anzu,Apricot
梅,Ume,Japanese Plum
すもも,Sumomo,Chinese Plum
ぶどう,Budou,Grape
柿,Kaki,Japanese persimmon
レモン,Remon,Lemon
ライム,Raimu,Lime
バナナ,Banana,Banana
いちご,Ichigo,Strawberry
ラズベリー,Razuberii,Raspberry
さくらんぼ,Sakuranbo,Cherry
ブルーベリー,Buruuberii,Blueberry
オレンジ,Orenji,Orange
ミカン,Mikan,Mandarin
キウイ,Kiui,Kiwi
グレープフルーツ,Gureepufrutsu,Grapefruit
ザクロ,Zakuro,Pomegranite
スターフルーツ,Sutaafuruutsu,Starfruit
ドラゴンフルーツ,Doragonfuruutsu,Dragonfruit
ドリアン,Dorian,Durian
ネクタリン,Nekutarin,Nectarine
マンゴー,Mangoo,Mango
ライチ,Raichi,Lychee
野菜,Yasai,Vegetables
にんじん,Ninjin,Carrot
アーティチョーク,Aateichooku,Artichoke
えのきたけ,Enokitake,Enoki Mushrooms
しいたけ,Shiitake,Shitake Mushrooms
オクラ,Okura,Okra
かぶ,Kabu,Turnip
かぼちゃ,Kabocha,Pumpkin
カリフラワー,Karifurawaa,Cauliflower
レタス,Retasu,Lettuce
キャベツ,Kyabetsu,Cabbage
白菜,Hakusai,Napa Cabbage
きゅうり,Kyuuri,Cucumber
セロリ,Serori,Celery
じゃがいも,Jyagaimo,Potato
さつまいも,Satumaimo,Sweet Potato
たけのこ,Takenoko,Bamboo Shoot
玉ねぎ,Tananegi,Round onion
ネギ,Negi,Green onion
とうもろこし,Toumorokoshi,Corn
トマト,Tomato,Tomato
ほうれん草,Hourensou,Spinach
小松菜,Komatsuna,Japanese mustard spinach
空芯菜,Kuushinsai,Chinese water spinach
チンゲン菜,Chingensai,Bok Choy
れんこん,Renkon,Lotus root
にんにく,Ninniku,Garlic
クレソン,Kureson,Watercress
ルッコラ,Rukkora,Arugula
肉,Niku,Meat
豚肉,Butaniku,Pork
ベーコン,Beekon,Bacon
牛肉,Gyuuniku,Beef
鶏肉,Toriniku,Chicken (meat)
魚,Sakana,Fish
鮭,Sake or shake,Salmon
マグロ,Magruo,Tuna
ツナ,Tsuna,Tuna (esp. canned)
タイ,Tai,Seabream
さば,Saba,Mackerel
アジ,Aji,Horse Mackerel
サンマ,Sanma,Pacific Saury / Mackerel Pike
ブリ,Buri,Japanese Amberjack / Japanese Yellowtail
イワシ,Iwashi,Sardine
アサリ,Asari,Manila clam
エビ,Ebi,Shrimp
うなぎ,Unagi,Eel
タコ,Tako,Octopus
イカ,Ika,Squid
カニ,Kani,Crab
ウニ,Uni,Sea urchin
卵,Tamago,Eggs
牛乳,Gyuunyuu,Milk
バーター,Baataa,Butter
チーズ,Chiizu,Cheese
ヨーグルト,Yooguruto,Yogurt
クリーム,Kuriimu,Cream
サワークリーム,Sawaakuriimu,Sour Cream
コンデンスミルク,Kondensumiruku,Condensed Milk
パン,Pan,Bread
アンパン,Anpan,Bread filled with red bean paste
食パン,Shokupan,Bread loaf (usually Japanese milk bread)
トースト,Toosuto,Toast
ベーグル,Beeguru,Bagel
デザート,Dezaato,Dessert
アイスクリーム,Aisukuriimu,Ice cream
アイス,Aisu,Ice cream (abbreviated)
かき氷,Kakigoori,Shaved ice / snow cone
ケーキ,Keeki,Cake
パイ,Pai,Pie
クッキー,Kukkii,Cookies
チョコレート,Chokoreeto,Chocolate
チョコ,Choko,Chocolate (abbreviated)
プリン,Purin,Pudding / custard
パフェ,Pafe,Parfait
和菓子,Wagashi,Traditional Japanese Sweets
コーヒーゼリー,Koohii zerii,Coffee Jelly
クレープ,Kureepu,Crepe
たい焼き,Taiyaki,Fish shaped bun filled with red bean
ソース,Soosu,Sauce
醤油,Shouyuu,Soy Sauce
塩,Shio,Salt
砂糖,Satou,Sugar
胡椒,Koshou,Pepper
オレガノ,Oregano,Oregano
ガーリック,Gaarikku,Garlic
カモミール,Kamomiiru,Chamomile
カルダモン,Karudamon,Cardamom
カレーリーフ,Kareeriifu,Curry leaf
キャラウェイ,Kyarauei,Caraway
クミン,Kumin,Cumin
クローブ,Kuroobu,Clove
けしの実,Keshinomi,Poppy seed
ごま,Goma,Sesame seed
コリアンダー,Koriandaa,Coriander
サフラン,Safuran,Saffron
山椒,Sanshou,Japanese pepper
しそ,Shiso,Perilla
シナモン,Shinamon,Cinnamon
ジンジャー,Jinjaa,Ginger
スペアミント,Supeaminto,Spearmint
セージ,Seeji,Sage
セロリーシード,Seroriishiido,Celery seed
ソレル,Soreru,Sorrel
ターメリック,Taamerikku,Turmeric
タイム,Taimu,Thyme
チャイブ,Chaibu,Chive
チリーペッパー,Chiriipeppaa,Chili pepper
ディル,Diru,Dill
ナツメッグ,Natsumeggu,Nutmeg
バジル,Bajiru,Basil
パセリ,Paseri,Parsley
バニラ,Banira,Vanilla
パプリカ,Papurika,Paprika
フェネグリーク,Feneguriin,Fenugreek
フェンネル,Fenneru,Fennel
ペパーミント,Pepaaminto,Peppermind
ホースラディッシュ,Hoosuradesshu,Horseradish
花椒（ホアジャオ),Kashou / Hoajou,Chinese pepper
辛子,Karashi,Japanese mustard
マスタード,Masutaado,Mustard
ゆず,Yuzu,Yuzu
レモングラス,Remongurasu,Lemon Grass
ローズマリー,Roozummarii,Rosemary
わさび,Wasabi,Wasabi
マヨネーズ,Mayoneezu,Mayonnaise
ケチャップ,Kechappu,Ketchup
アルコール,Arukooru,Alcohol
酒,Sake,Sake
ビール,Biiru,Beer
生ビール,Namabiiru,Draft Beer
ワイン,Wain,Wine
蒸留酒,Jouryuushuu,Distilled liquor
焼酎,Shouchuu,Shochu (Japanese distilled beverage)
ウイスキー,Uisukii,Whiskey
ブランデー,Burandee,Brandy
ジン,Jin,Gin
ウォッカ,Wokka,Vodka
ラム,Ramu,Rum
テキーラ,Tekiira,Tequila
カクテル,Kakuteru,Cocktail
焼く,Yaku,To grill; to bake
水洗い,Mizuarai,Rinsing with cold water
茹でる,Yuderu,To boil
混ぜる,Mazeru,To mix
みじん切り,Mijingiri,Finely chopping
揚げる,Ageru,To fry
泡立てる,Awadateru,To whisk
蒸らす,Murasu,To steam
炒める,Itameru,To stir fry / saute
漬ける,Tsukeru,To soak / seep ; To pickle / preserve
盛る,Moru,To serve
皮を剥く,Kawa wo muku,To peel
種,Tane,Seed
殻,Kara,Shell / husk / pod
皮,Kawa,Rind / peel
根元,Nemoto,Base of a plant / part near the root
鍋,Nabe,Pot
フライパン,Furaipan,Frypan
炊飯器,Suihanki,Rice cooker
飲食店,Inshokuten,Restaurant
レストラン,Resutoran,Restaurant
ファミレス,Famiresu,Family-style Restaurant (abbreviation)
予約,Yoyaku,Reservation
おしぼり,Oshibori,Hot towel
お会計,Okaikei,Check
美味しい,Oishii,Delicious
うまい,Umai,Delicious (more informal)
まずい,Mazui,Disgusting
甘い,Amai,Sweet
苦い,Nigai,Bitter
辛い,Karai,Spicy
塩辛い,Shiokarai,Salty
酸っぱい,Suppai,Sour
味が薄い,Aji ga usui,Tasteless / bland
コンピュータ,Konpyuuta,Computer
パソコン,Pasokon,PC
ノートパソコン,Nootopasokon,Laptop
画面,Gamen,Screen
マウス,Mausu,Mouse
キーボード,Kiiboodo,Keyboard
